[2024-11-25 17:16:58,867] [INFO ] [main] apiTestCases.ValidateCartsFunctions -*****Adding the cart details*****
[2024-11-25 17:17:00,926] [INFO ] [main] helpers.CartOperations -User ID value is:1
[2024-11-25 17:17:00,926] [INFO ] [main] apiTestCases.ValidateCartsFunctions -*****Getting the status code*****
[2024-11-25 17:17:00,927] [INFO ] [main] apiTestCases.ValidateCartsFunctions -The response code is 201
[2024-11-25 17:17:00,927] [INFO ] [main] apiTestCases.ValidateCartsFunctions -*****Validating the status code*****
[2024-11-25 17:17:00,934] [INFO ] [main] apiTestCases.ValidateCartsFunctions -*****Deleting the cart details*****
[2024-11-25 17:17:01,639] [INFO ] [main] apiTestCases.ValidateCartsFunctions -*****Getting the status code*****
[2024-11-25 17:17:01,640] [INFO ] [main] apiTestCases.ValidateCartsFunctions -The response code is 200
[2024-11-25 17:17:01,640] [INFO ] [main] apiTestCases.ValidateCartsFunctions -*****Validating the status code*****
