[2024-09-24 14:41:54,752] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :1678a8a3-32ba-4869-a504-25e68f5a5879
[2024-09-24 14:41:54,753] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:41:55,859] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:41:55,859] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:41:55,859] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:41:55,859] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:41:57,037] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :335927fa-b2b7-4b8c-b68f-5b5fd08ef12a
[2024-09-24 14:41:57,038] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:41:58,198] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:41:58,198] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:41:58,198] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:41:58,198] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:41:59,386] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :cf78c028-c47f-4605-830d-45620d5d49a0
[2024-09-24 14:41:59,387] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:42:00,553] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:42:00,553] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:42:00,553] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:42:00,553] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
